b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013,row,col,distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9645390070921984,0.0,0.0,15,13,10.816653826391967
0.0,0.0,0.0,0.0,0.0,0.8402777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11,33.13608305156178
0.0,0.8478260869565217,0.8357142857142857,0.0,0.0,0.7638888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14,43.68065933568311
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9219858156028368,0.8661971830985915,0.0,13,13,15.0
0.0,0.8913043478260869,0.8785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,45.09988913511872
0.0,0.8865248226950354,0.8194444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,42.1070065428546
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148936170212766,0.0,0.0,0.0,0.0,17,3,21.0
0.0,0.855072463768116,0.7857142857142857,0.0,0.0,0.0,0.0,0.7285714285714285,0.0,0.0,0.0,0.0,0.0,5,8,36.49657518178932
0.0,0.855072463768116,0.8428571428571429,0.7266187050359713,0.7676056338028169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11,39.1152144312159
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7785714285714286,0.0,0.7642857142857142,0.0,0.0,0.0,9,8,24.73863375370596
0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14,40.80441152620633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8642857142857143,0.0,0.8785714285714286,0.0,0.0,0.0,8,10,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7214285714285714,0.0,0.0,0.8085106382978723,0.6830985915492958,0.0,12,13,17.492855684535904
0.8759124087591241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,34.205262752974136
0.9416058394160584,0.8333333333333334,0.0,0.0,0.8661971830985915,0.0,0.0,0.9214285714285714,0.0,0.8357142857142857,0.0,0.0,0.0,7,9,30.14962686336267
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943661971830986,0.8642857142857143,14,21,34.205262752974136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071428571428572,15,22,36.49657518178932
