b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013,col,row
0.0,0.0,0.8571428571428571,0.0,0.8661971830985915,1.0,0.8561151079136691,0.0,0.0,0.0,0.0,0.0,0.0,12,4
0.0,0.0,0.8571428571428571,0.0,0.8591549295774648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6
0.0,0.0,0.85,0.0,0.8873239436619719,0.9513888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1
0.0,0.0,0.0,0.0,0.8802816901408451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5
0.0,0.0,0.0,0.0,0.8309859154929577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5
0.0,0.0,0.0,0.0,0.8380281690140845,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5
0.0,0.0,0.0,0.0,0.8380281690140845,0.9652777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,7
0.0,0.0,0.0,0.0,0.8380281690140845,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3
0.0,0.0,0.0,0.0,0.8450704225352113,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3
0.0,0.0,0.0,0.0,0.8450704225352113,0.9791666666666666,0.8920863309352518,0.0,0.0,0.0,0.0,0.0,0.0,12,7
0.0,0.0,0.0,0.8776978417266187,0.8169014084507042,1.0,0.8920863309352518,0.0,0.0,0.0,0.0,0.0,0.0,17,5
0.0,0.0,0.0,0.8776978417266187,0.8450704225352113,1.0,0.8920863309352518,0.0,0.0,0.0,0.0,0.0,0.0,16,7
0.0,0.0,0.0,0.8776978417266187,0.8450704225352113,0.9652777777777778,0.8920863309352518,0.0,0.0,0.0,0.0,0.0,0.0,15,6
0.0,0.0,0.0,0.8776978417266187,0.0,0.9236111111111112,0.8705035971223022,0.0,0.0,0.0,0.0,0.0,0.0,20,2
0.0,0.0,0.0,0.8848920863309353,0.0,0.8819444444444444,0.9136690647482014,0.0,0.0,0.0,0.0,0.0,0.0,18,5
0.0,0.0,0.0,0.8848920863309353,0.0,0.8819444444444444,0.9136690647482014,0.0,0.0,0.0,0.0,0.0,0.0,18,7
0.0,0.0,0.0,0.8776978417266187,0.0,0.8819444444444444,0.8705035971223022,0.8714285714285714,0.0,0.0,0.0,0.0,0.0,17,7
0.0,0.0,0.0,0.8776978417266187,0.0,0.9027777777777778,0.9424460431654677,0.8714285714285714,0.0,0.0,0.0,0.0,0.0,17,6
0.0,0.8768115942028986,0.0,0.0,0.0,0.8958333333333334,0.9424460431654677,0.8714285714285714,0.0,0.0,0.0,0.0,0.0,10,4
0.8686131386861314,0.8768115942028986,0.0,0.0,0.8169014084507042,0.0,0.9424460431654677,0.8714285714285714,0.0,0.0,0.0,0.0,0.0,7,6
0.8686131386861314,0.8768115942028986,0.0,0.0,0.8169014084507042,0.0,0.9424460431654677,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,8,7
0.8686131386861314,0.8768115942028986,0.0,0.0,0.8169014084507042,0.8541666666666666,0.8848920863309353,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,12,8
0.8686131386861314,0.8623188405797102,0.0,0.8633093525179856,0.8169014084507042,0.8541666666666666,0.8920863309352518,0.0,0.0,0.0,0.0,0.0,0.0,9,3
0.8686131386861314,0.0,0.0,0.8633093525179856,0.8169014084507042,0.8541666666666666,0.9424460431654677,0.0,0.0,0.0,0.0,0.0,0.0,22,7
