en_cols,en_rows,dis_1,dis_2,dis_3,dis_4,dis_5,dis_6,dis_7,dis_8,dis_9,dis_10,dis_11,dis_12,dis_13
14,1,34.205262752974136,16.15549442140351,6.708203932499369,13.416407864998739,21.213203435596427,15.297058540778353,19.209372712298546,28.30194339616981,51.08815909777921,41.78516483155236,39.1152144312159,40.80441152620633,45.79301256742124
15,0,38.41874542459709,20.12461179749811,10.816653826391967,12.727922061357855,25.45584412271571,18.973665961010276,20.12461179749811,32.449961479175904,55.31726674375732,45.69463863518345,42.42640687119285,42.95346318982906,46.95742752749558
15,0,38.41874542459709,20.12461179749811,10.816653826391967,12.727922061357855,25.45584412271571,18.973665961010276,20.12461179749811,32.449961479175904,55.31726674375732,45.69463863518345,42.42640687119285,42.95346318982906,46.95742752749558
15,0,38.41874542459709,20.12461179749811,10.816653826391967,12.727922061357855,25.45584412271571,18.973665961010276,20.12461179749811,32.449961479175904,55.31726674375732,45.69463863518345,42.42640687119285,42.95346318982906,46.95742752749558
15,0,38.41874542459709,20.12461179749811,10.816653826391967,12.727922061357855,25.45584412271571,18.973665961010276,20.12461179749811,32.449961479175904,55.31726674375732,45.69463863518345,42.42640687119285,42.95346318982906,46.95742752749558
15,0,38.41874542459709,20.12461179749811,10.816653826391967,12.727922061357855,25.45584412271571,18.973665961010276,20.12461179749811,32.449961479175904,55.31726674375732,45.69463863518345,42.42640687119285,42.95346318982906,46.95742752749558
15,0,38.41874542459709,20.12461179749811,10.816653826391967,12.727922061357855,25.45584412271571,18.973665961010276,20.12461179749811,32.449961479175904,55.31726674375732,45.69463863518345,42.42640687119285,42.95346318982906,46.95742752749558
15,1,36.6196668472011,18.973665961010276,8.485281374238571,10.816653826391967,23.430749027719962,16.15549442140351,17.492855684535904,30.0,53.075418038862395,42.95346318982906,39.45883931389771,40.024992192379,44.294469180700204
17,0,43.26661530556787,25.63201123595259,15.0,9.486832980505138,30.0,21.633307652783934,18.24828759089466,36.124783736376884,59.39696961966999,48.373546489791295,43.68065933568311,42.1070065428546,44.598206241955516
17,0,43.26661530556787,25.63201123595259,15.0,9.486832980505138,30.0,21.633307652783934,18.24828759089466,36.124783736376884,59.39696961966999,48.373546489791295,43.68065933568311,42.1070065428546,44.598206241955516
